Date,Time,Minutes,Hours,Total_error,Machine
26/4/18,6:06,366,6,121,Forty-seven
27/4/18,7:26,446,7,207,Forty-seven
28/4/18,8:37,517,9,214,Forty-seven
29/4/18,1:04:00,64,1,135,Forty-seven
30/4/18,10:20,620,10,153,Forty-seven
1/4/18,8:49:00,529,9,244,Forty-nine
2/4/18,5:20:00,320,5,322,Forty-nine
3/4/18,7:51:00,471,8,227,Forty-nine
4/4/18,12:03:00,723,12,239,Forty-nine
5/4/18,7:11:00,431,7,263,Forty-nine
6/4/18,6:40:00,400,7,313,Forty-nine
7/4/18,7:14:00,434,7,275,Forty-nine
8/4/18,4:16:00,256,4,124,Forty-nine
9/4/18,12:40:00,760,13,105,Forty-nine
10/4/18,4:09:00,249,4,89,Forty-nine
11/4/18,4:53:00,293,5,183,Forty-nine
12/4/18,5:02:00,302,5,155,Forty-nine
13/4/18,3:34:11,214.18,4,134,Forty-nine
14/4/18,5:39:39,339.65,6,461,Forty-nine
16/4/18,10:55:51,655.85,11,303,Forty-nine
17/4/18,5:32:02,332.03,6,236,Forty-nine
18/4/18,10:53:06,653.1,11,252,Forty-nine
19/4/18,10:56:34,656.57,11,295,Forty-nine
20/4/18,9:33:07,573.12,10,268,Forty-nine
21/4/18,10:59:08,659.13,11,240,Forty-nine
22/4/18,1:45:37,105.62,2,216,Forty-nine
23/4/18,6:52:18,412.3,7,212,Forty-nine
24/4/18,7:26:15,446.25,7,225,Forty-nine
25/4/18,4:14:35,254.58,4,236,Forty-nine
26/4/18,6:41:45,401.75,7,133,Forty-nine
27/4/18,5:44:03,344.05,6,334,Forty-nine
28/4/18,15:47:22,947.37,16,201,Forty-nine
29/4/18,2:33:45,153.75,3,247,Forty-nine
30/4/18,7:50:05,470.08,8,179,Forty-nine
1/4/18,12:13:00,733,12,93,Fifty
2/4/18,5:12:00,312,5,73,Fifty
3/4/18,7:00:00,420,7,115,Fifty
4/4/18,6:48:00,408,7,106,Fifty
5/4/18,7:37:00,457,8,163,Fifty
6/4/18,9:13:00,553,9,89,Fifty
7/4/18,18:23:00,1103,18,118,Fifty
8/4/18,4:47:00,287,5,63,Fifty
9/4/18,10:37:00,637,11,137,Fifty
10/4/18,4:42:00,282,5,64,Fifty
11/4/18,19:06,1146,19,92,Fifty
13/4/18,7:44:51,464.85,8,85,Fifty
14/4/18,0:31:36,31.6,1,80,Fifty
16/4/18,10:25:05,625.08,10,162,Fifty
17/4/18,6:55:22,415.37,7,86,Fifty
18/4/18,7:09:14,429.23,7,117,Fifty
19/4/18,7:02:02,422.03,7,100,Fifty
20/4/18,2:41:46,161.77,3,113,Fifty
21/4/18,10:47:05,647.08,11,191,Fifty
22/4/18,5:23:24,323.4,5,84,Fifty
23/4/18,6:35:44,395.73,7,191,Fifty
24/4/18,6:47:29,407.48,7,103,Fifty
25/4/18,8:43:03,523.05,9,137,Fifty
26/4/18,6:46:58,406.97,7,147,Fifty
27/4/18,15:06:58,906.97,15,97,Fifty
28/4/18,16:56:44,1016.73,17,134,Fifty
29/4/18,0:24:42,24.7,0,127,Fifty
30/4/18,13:52:38,832.63,14,95,Fifty
1/4/18,7:31,451,8,117,Fifty-one
2/4/18,11:39:00,699,12,159,Fifty-one
